
	WATERSHED 6

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean        sd          2.5%          50%       97.5% Rhat n.eff
s[60]    0.73774359 1.2377848  4.033712e-09  0.194382500  4.44586075 1.02   867
s[61]    3.05140860 1.8696072  4.476410e-01  2.511890000  8.06973125 1.01  1015
s[62]    1.96073579 1.5898926  1.000000e+00  1.243350000  6.72154400 1.01   870
s[63]    1.46247800 2.2252675  8.548861e-07  0.460539000  7.98827450 1.01   874
s[64]    0.82609578 1.4509310  1.427305e-13  0.118995500  5.16686475 1.01   873
s[65]    1.78086671 0.9811308  1.758565e-01  1.605185000  4.07582950 1.01  1072
s[66]    2.28306071 2.2247180  5.506945e-02  1.475745000  8.19020075 1.01  1017
s[67]    1.10516027 0.8915807  8.533323e-02  0.792593000  3.56899325 1.01  1003
s[68]    2.53261700 1.5487134  2.190996e-01  2.235965000  6.13445175 1.01  1075
s[69]    2.00565248 2.6284484  2.492896e-04  0.926290500  9.53249125 1.01   878
s[70]    1.32951218 1.2333033  1.286538e-02  0.905805000  4.43190575 1.01  1030
s[71]    1.25540524 1.8286462  1.688552e-07  0.395000500  6.47093675 1.01  1003
s[72]    2.45853257 2.5239665  1.473383e-03  1.603135000  9.09366175 1.01  1020
s[73]    2.35652228 1.3872692  1.117144e+00  1.850155000  6.50993850 1.02   865
s[74]    2.35500100 1.3876561  1.115179e+00  1.848725000  6.50912850 1.02   865
s[75]    1.21093638 1.4024693  1.531230e-02  0.669874500  5.31584200 1.01   872
s[76]    1.87022301 2.0900073  1.361231e-02  1.108355000  7.81181200 1.01   875
s[77]    2.10663492 2.1226699  7.787350e-02  1.356800000  8.22662050 1.01   872
s[78]    1.45068793 2.1225872  7.996208e-06  0.505462500  7.62257725 1.01   876
s[79]    1.63348503 1.1445098  1.000000e+00  1.086915000  5.11196625 1.02   873
s[80]    2.09579901 1.5420274  2.620684e-01  1.640425000  6.53275525 1.01   981
s[81]    1.87603595 2.2493620  2.356367e-03  0.999175500  8.11713725 1.01   996
s[82]    1.67216584 1.4009359  3.811282e-01  1.064500000  5.61746325 1.01  1000
s[83]    3.23230530 2.2763534  1.002848e+00  2.475280000  9.24356950 1.01  1017
s[84]    1.05698450 1.7136288  3.171932e-06  0.298727500  6.18235450 1.01   869
s[85]    1.72760317 2.2085986  2.356287e-03  0.815217500  7.99887700 1.01   875
s[86]    1.40954335 2.1027558  3.372424e-06  0.495304500  7.58163425 1.01   873
s[87]    1.65555614 2.1537071  1.494411e-04  0.788880000  7.78290975 1.01   876
s[88]    1.43747193 2.1755704  7.964001e-06  0.421182500  7.77702150 1.01   878
s[89]    3.23230530 2.2763534  1.002848e+00  2.475280000  9.24356950 1.01  1017
s[90]    1.27654762 1.2214866  1.286538e-02  0.834997000  4.43122350 1.01  1023
s[91]    1.63432215 1.1005791  5.092674e-02  1.421595000  4.17377575 1.01  1074
s[92]    1.68560787 1.8603240  1.251364e-02  1.070280000  7.07961550 1.01   867
s[93]    0.88601629 1.3300004  7.084620e-09  0.294390000  4.69302675 1.01   870
s[94]    0.62419114 1.0121479  1.173170e-06  0.216075000  3.63515975 1.02   863
s[95]    1.24510423 1.9795202  2.574719e-08  0.329103000  7.05421300 1.01   872
s[96]    1.25436210 1.9842469  8.090702e-07  0.343875000  7.11509925 1.01   872
s[97]    1.43544019 1.5414027  1.005317e-04  0.852872500  5.26431225 1.01  1037
s[98]    2.00939844 2.1482476  7.479763e-02  1.211730000  8.23105725 1.01   872
s[99]    1.85871539 2.1774219  3.571515e-03  1.060490000  8.06896900 1.01   874
s[100]   1.56274486 1.5464270  9.637752e-02  0.962889500  5.97901675 1.01   995
s[101]   2.18561959 1.6434804  4.757876e-02  1.788650000  6.08293050 1.01  1046
s[102]   1.06744234 0.8465489  8.533323e-02  0.780178500  3.42243750 1.01  1000
s[103]   1.65637930 1.3929855  3.811282e-01  1.050730000  5.59686900 1.01   998
s[104]   1.79710190 2.0882780  1.346691e-02  1.004680000  7.76005675 1.01   875
s[105]   2.54170328 1.5416918  2.410345e-01  2.228710000  6.15739275 1.01  1072
s[106]   1.58973413 1.5697088  9.637772e-02  0.985094000  6.06680775 1.01   995
s[107]   2.90949997 1.4351352  1.962906e+00  2.287170000  7.09012500 1.01   868
s[108]   2.11885030 2.6006908  2.277207e-03  1.095595000  9.53829975 1.01   878
s[109]   0.49552398 0.7940892  1.173170e-06  0.198237000  2.84132625 1.02   862
s[110]   0.80210466 1.5937332  3.279607e-12  0.083806400  5.69598025 1.02   968
s[111]   0.58964644 1.1865212  2.255088e-11  0.067174350  4.22599875 1.02   965
s[112]   2.13150393 1.6385683  1.484170e-02  1.785220000  5.91733125 1.01  1075
s[113]   1.98563648 2.4678778  4.483786e-04  0.940021000  8.77256825 1.01  1011
s[114]   2.54479826 2.4406590  6.727680e-03  1.796300000  8.76395175 1.01  1028
s[115]   2.12671043 2.1669210  5.498989e-02  1.283700000  7.96775075 1.01  1013
s[116]   2.00967490 2.5756138  2.095081e-03  0.953997500  9.41118075 1.01   877
